fonte,motorista,rotulo_evento,comportamento,magnitude_pico_ms2,evento_detectado
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.18533120162435,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.288390431431103,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.343606616398288,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.887723540165165,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.887723540165165,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.887723540165165,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.887723540165165,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.887723540165165,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.887723540165165,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.5044029155690515,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.304562206229098,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.387842176926919,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.387842176926919,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,4.9894806453144,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.089657162004824,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.118604935242477,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.118604935242477,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.118604935242477,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.118604935242477,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.2737437081028835,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.2737437081028835,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.2737437081028835,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.2737437081028835,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.2737437081028835,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.2737437081028835,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,3.7212587409206095,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,3.515471610456733,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,2.838905373485432,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,2.838905373485432,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,2.838905373485432,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,4.709014888690155,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.5527689431866865,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.6703192676113074,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.556633098749846,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.556633098749846,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.5503781052156835,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,5.5503781052156835,False
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.126720413976467,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.126720413976467,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.126720413976467,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.262325872540736,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.281212125154169,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.6050543553370336,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.6050543553370336,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.708333451508806,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.708333451508806,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.708333451508806,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.708333451508806,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.708333451508806,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.708333451508806,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.788298506393349,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.788298506393349,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.788298506393349,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.788298506393349,True
Yuksel & Atmaca (2020),desconhecido,Sudden Acceleration,agressiva,6.788298506393349,True
