limiar_ms2,taxa_min_eventos_min,n_agressiva,agressiva_sinalizados,sensibilidade,n_normal,normal_sinalizados,especificidade,youden,n_sonolenta,sonolenta_sinalizados,taxa_sonolenta
3.0,1.8,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,1,0.08333333333333333
3.0,1.9,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,1,0.08333333333333333
3.0,2.0,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,1,0.08333333333333333
3.1,0.0,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,8,0.6666666666666666
3.1,0.1,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,7,0.5833333333333334
3.1,0.2,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,7,0.5833333333333334
3.1,0.3,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,6,0.5
3.1,0.4,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,6,0.5
3.1,0.5,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,6,0.5
3.1,0.6,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,6,0.5
3.1,0.7,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,4,0.3333333333333333
3.1,0.8,11,4,0.36363636363636365,17,2,0.8823529411764706,0.24598930481283432,12,2,0.16666666666666666
3.1,0.9,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,2,0.16666666666666666
3.1,1.0,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,1,0.08333333333333333
3.1,1.1,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,1,0.08333333333333333
3.1,1.2,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,1,0.08333333333333333
3.1,1.3,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,1,0.08333333333333333
3.1,1.4,11,3,0.2727272727272727,17,2,0.8823529411764706,0.15508021390374327,12,1,0.08333333333333333
